site_numbe,area,agent_numb,lat,long,network_nu,NZMGE,NZMGN,geometry,OBJECTID,AGENT_NO,NETWORK,pnum,LONGT,LAT,NAME,ELEVATION
1,Far North District,20661,-35.125,173.275,P146250,2535917.327,6675351.61,c(2535917.32666584, 6675351.60958765),1211,20661,P146250,173.275,-35.125,Far North District,34.9724
2,Kaipara District,21431,-35.975,173.925,P159233,2594044.899,6580518.795,c(2594044.89917685, 6580518.79513142),3870,21431,P159233,173.925,-35.975,Kaipara District,31.4201
3,Whangarei District,21815,-35.575,174.475,P170241,2644430.386,6624170.123,c(2644430.38642753, 6624170.12281025),4725,21815,P170241,174.475,-35.575,Whangarei District,71.3756
4,Far North District,29644,-35.425,173.825,P157244,2585690.213,6641651.976,c(2585690.21275915, 6641651.97636712),3385,29644,P157244,173.825,-35.425,Far North District,196.6477
5,Far North District,21536,-35.325,174.125,P163246,2613091.292,6652407.607,c(2613091.29188597, 6652407.60675303),1265,21536,P163246,174.125,-35.325,Far North District,33.8324
6,Far North District,21053,-34.575,172.875,P138261,2499554.839,6736509.195,c(2499554.83886273, 6736509.19541726),6622,21053,P138261,172.875,-34.575,Far North District,37.2142
7,North Shore City,21811,-36.775,174.725,P175217,2664414.436,6490604.65,c(2664414.43579321, 6490604.65030278),9941,21811,P175217,174.725,-36.775,North Shore City,48.0628
8,Waitakere City,25260,-36.875,174.625,P173215,2655277.336,6479683.589,c(2655277.33561268, 6479683.58910125),10846,25260,P173215,174.625,-36.875,Waitakere City,25.026
9,Auckland City,27592,-36.925,174.825,P177214,2672988.379,6473778.101,c(2672988.37910231, 6473778.10070702),6755,27592,P177214,174.825,-36.925,Auckland City,22.3157
10,Auckland City,30803,-36.825,175.125,P183216,2699980.993,6484265.056,c(2699980.99345574, 6484265.05597919),10270,30803,P183216,175.125,-36.825,Auckland City,63.6022
11,Auckland City,21812,-36.875,174.725,P175215,2664191.608,6479509.317,c(2664191.60757778, 6479509.31703631),2883,21812,P175215,174.725,-36.875,Auckland City,30.7542
13,Rodney District,21630,-36.575,174.325,P167221,2629061.662,6513439.728,c(2629061.66230741, 6513439.72755518),1272,21630,P167221,174.325,-36.575,Rodney District,35.8205
14,Thames-Coromandel District,29309,-37.175,175.575,P192209,2738984.499,6444368.823,c(2738984.49941354, 6444368.82281512),9382,29309,P192209,175.575,-37.175,Thames-Coromandel District,42.7408
15,Thames-Coromandel District,28291,-36.925,175.675,P194214,2748697.571,6471836.907,c(2748697.57136919, 6471836.90715272),896,28291,P194214,175.675,-36.925,Thames-Coromandel District,75.0662
16,Auckland City,28760,-36.225,175.475,P190228,2733059.701,6550007.605,c(2733059.70131605, 6550007.60495845),8771,28760,P190228,175.475,-36.225,Auckland City,57.1336
17,Hamilton City,27691,-37.825,175.325,P187196,2714886.474,6372876.012,c(2714886.47397358, 6372876.01222655),6178,27691,P187196,175.325,-37.825,Hamilton City,44.1989
18,Waikato District,28620,-37.775,174.875,P178197,2675403.454,6379373.822,c(2675403.45421753, 6379373.82236526),2330,28620,P178197,174.875,-37.775,Waikato District,55.8282
19,Tauranga City,28397,-37.675,176.225,P205199,2794675.724,6387035.667,c(2794675.7244419, 6387035.66742541),10492,28397,P205199,176.225,-37.675,Tauranga City,6.1717
20,Rotorua District,30493,-38.125,176.325,P207190,2801633.384,6336805.469,c(2801633.38407908, 6336805.46925894),4477,30493,P207190,176.325,-38.125,Rotorua District,361.6433
21,Whakatane District,27943,-38.425,176.775,P216184,2839653.643,6301973.59,c(2839653.64264084, 6301973.59009087),4406,27943,P216184,176.775,-38.425,Whakatane District,210.4686
22,New Plymouth District,27582,-39.025,174.175,P164172,2611821.771,6241735.165,c(2611821.77115493, 6241735.16523644),1267,27582,P164172,174.175,-39.025,New Plymouth District,29.2793
23,Taupo District,28898,-38.725,176.075,P202178,2777430.074,6271039.729,c(2777430.07448366, 6271039.72909675),8846,28898,P202178,176.075,-38.725,Taupo District,368.0502
24,Gisborne District,30113,-38.625,178.125,P243180,2956135.14,6273977.183,c(2956135.1398422, 6273977.18300993),2596,30113,P243180,178.125,-38.625,Gisborne District,112.524
25,Hastings District,29509,-39.425,176.825,P217164,2839269.043,6190884.68,c(2839269.04256155, 6190884.68013979),3009,29509,P217164,176.825,-39.425,Hastings District,60.8455
26,Hastings District,30050,-39.725,176.975,P220158,2850689.071,6157044.664,c(2850689.07087699, 6157044.66360685),2567,30050,P220158,176.975,-39.725,Hastings District,126.4341
27,Horowhenua District,28709,-40.525,175.325,P187142,2706980.383,6073276.798,c(2706980.38259631, 6073276.79823126),2382,28709,P187142,175.325,-40.525,Horowhenua District,3.8821
28,Wellington City,30734,-41.325,174.825,P177126,2662774.974,5985460.675,c(2662774.97383291, 5985460.67482247),10862,30734,P177126,174.825,-41.325,Wellington City,46.6446
29,Lower Hutt City,30195,-41.225,174.875,P178128,2667198.48,5996475.243,c(2667198.47953183, 5996475.24256663),3711,30195,P178128,174.875,-41.225,Lower Hutt City,91.5859
30,Marlborough District,27012,-41.275,173.875,P158127,2583308.531,5992243.457,c(2583308.53108995, 5992243.45711793),4684,27012,P158127,173.875,-41.275,Marlborough District,151.0418
31,Tasman District,20274,-41.225,173.075,P142128,2516289.177,5998160.01,c(2516289.1768651, 5998160.00984461),742,20274,P142128,173.075,-41.225,Tasman District,45.4062
32,Tasman District,21133,-40.875,172.875,P138135,2499463,6037024.439,c(2499463.00012445, 6037024.43857664),2262,21133,P138135,172.875,-40.875,Tasman District,326.4137
33,Buller District,15674,-41.775,171.575,P112117,2391526.089,5936079.145,c(2391526.08869513, 5936079.14500265),1921,15674,P112117,171.575,-41.775,Buller District,22.0363
34,Kaikoura District,28055,-42.375,173.675,P154105,2565607.763,5870223.61,c(2565607.76265992, 5870223.61039627),781,28055,P154105,173.675,-42.375,Kaikoura District,25.482
35,Hurunui District,21269,-42.725,172.875,P138098,2499780.331,5831549.292,c(2499780.33087894, 5831549.29186619),3566,21269,P138098,172.875,-42.725,Hurunui District,214.5833
37,Waimakariri District,19945,-43.275,172.575,P132087,2475522.209,5770367.668,c(2475522.20876106, 5770367.66838922),5418,19945,P132087,172.575,-43.275,Waimakariri District,58.9946
38,Westland District,19484,-42.725,170.975,P100098,2344176.595,5829549.357,c(2344176.5946884, 5829549.35700035),2072,19484,P100098,170.975,-42.725,Westland District,18.3043
39,Selwyn District,21214,-43.725,172.525,P131078,2471746.614,5720349.677,c(2471746.61383094, 5720349.67726896),3613,21214,P131078,172.525,-43.725,Selwyn District,1.6052
40,Christchurch City,20812,-43.625,172.625,P133080,2479755.195,5731501.232,c(2479755.19517684, 5731501.23203058),9746,20812,P133080,172.625,-43.625,Christchurch City,230.4965
41,Christchurch City,21209,-43.475,172.525,P131083,2471589.63,5748126.051,c(2471589.62997258, 5748126.0509164),3307,21209,P131083,172.525,-43.475,Christchurch City,35.9694
42,Timaru District,19840,-44.375,171.225,P105065,2368543.098,5646737.546,c(2368543.09823527, 5646737.54639636),565,19840,P105065,171.225,-44.375,Timaru District,25.3396
43,Timaru District,15279,-43.925,171.275,P106074,2371495.233,5696810.539,c(2371495.23284556, 5696810.53882358),10018,15279,P106074,171.275,-43.925,Timaru District,245.4876
44,Dunedin City,19656,-45.825,170.525,P091036,2317554.739,5484243.728,c(2317554.73932569, 5484243.72828364),3204,19656,P091036,170.525,-45.825,Dunedin City,276.0919
45,Dunedin City,13855,-45.875,170.325,P087035,2302197.05,5478210.394,c(2302197.04976892, 5478210.39403178),6417,13855,P087035,170.325,-45.875,Dunedin City,7.3753
46,Dunedin City,14132,-45.875,170.225,P085035,2294436.783,5477957.111,c(2294436.78264259, 5477957.11071296),9138,14132,P085035,170.225,-45.875,Dunedin City,10.2434
47,Central Otago District,13051,-45.525,169.375,P068042,2226788.744,5514276.827,c(2226788.74362781, 5514276.82700149),6972,13051,P068042,169.375,-45.525,Central Otago District,497.5336
48,Queenstown-Lakes District,14371,-44.975,168.675,P054053,2168960.369,5572678.321,c(2168960.36882366, 5572678.32056042),7376,14371,P054053,168.675,-44.975,Queenstown-Lakes District,656.0498
49,Southland District,7524,-46.275,167.725,P035027,2103450.47,5424122.478,c(2103450.47043441, 5424122.47833316),403,7524,P035027,167.725,-46.275,Southland District,29.5393
50,Southland District,10134,-46.875,168.075,P042015,2134377.59,5359225.339,c(2134377.59036757, 5359225.33851787),1669,10134,P042015,168.075,-46.875,Southland District,69.8783
51,Southland District,7697,-44.675,167.925,P039059,2107839.183,5602572.225,c(2107839.18297964, 5602572.22526151),11424,7697,P039059,167.925,-44.675,Southland District,484.8302
52,Mackenzie District,14184,-43.725,170.075,P082078,2274384.84,5716326.752,c(2274384.84030689, 5716326.7520032),8414,14184,P082078,170.075,-43.725,Mackenzie District,1226.0559
53,Selwyn District,16409,-42.925,171.575,P112094,2393689.42,5808346.356,c(2393689.42012319, 5808346.35589051),5955,16409,P112094,171.575,-42.925,Selwyn District,1290.5994
54,Marlborough District,30687,-41.525,173.825,P157122,2578857.267,5964521.847,c(2578857.26732792, 5964521.84653614),10785,30687,P157122,173.825,-41.525,Marlborough District,55.45
56,Gisborne District,31173,-37.575,178.175,P244201,2967151.31,6390100.507,c(2967151.30993461, 6390100.50721992),4054,31173,P244201,178.175,-37.575,Gisborne District,154.1285
57,Ruapehu District,30332,-39.225,175.525,P191168,2728048.896,6217074.176,c(2728048.89600734, 6217074.17576155),3767,30332,P191168,175.525,-39.225,Ruapehu District,1273.6689
58,Stratford District,21639,-39.325,174.325,P167166,2624298.256,6208248.413,c(2624298.25552536, 6208248.41273143),9233,21639,P167166,174.325,-39.325,Stratford District,273.7474
